Demographic,Borough,Cohort,Total Cohort,Total Grads - n
Borough Total,Bronx,2001,11453,4913
Borough Total,Bronx,2002,12032,5328
Borough Total,Bronx,2003,13632,6389
Borough Total,Bronx,2004,14364,7448
Borough Total,Bronx,2005,15175,8229
Borough Total,Bronx,2006,15579,8524
Borough Total,Bronx,08/01/06,15579,9215
Borough Total,Brooklyn,2001,19961,9758
Borough Total,Brooklyn,2002,20808,10337
Borough Total,Brooklyn,2003,21334,11064
Borough Total,Brooklyn,2004,22353,12303
Borough Total,Brooklyn,2005,22331,12603
Borough Total,Brooklyn,2006,22177,13040
Borough Total,Brooklyn,08/01/06,22177,14043
Borough Total,Manhattan,2001,12670,7480
Borough Total,Manhattan,2002,13463,7746
Borough Total,Manhattan,2003,13879,7613
Borough Total,Manhattan,2004,15127,8780
Borough Total,Manhattan,2005,15843,9816
Borough Total,Manhattan,2006,16416,10411
Borough Total,Manhattan,08/01/06,16416,10947
Borough Total,Queens,2001,17011,9180
Borough Total,Queens,2002,18262,9869
Borough Total,Queens,2003,18415,10455
Borough Total,Queens,2004,18725,10922
Borough Total,Queens,2005,19511,11863
Borough Total,Queens,2006,19558,12465
Borough Total,Queens,08/01/06,19558,13378
Borough Total,Staten Island,2001,3872,2565
Borough Total,Staten Island,2002,4134,2721
Borough Total,Staten Island,2003,4218,2812
Borough Total,Staten Island,2004,4142,2788
Borough Total,Staten Island,2005,4460,3098
Borough Total,Staten Island,2006,4603,3346
Borough Total,Staten Island,08/01/06,4603,3423
